3.861003861003861060e-01,1.505791505791505835e-01,1.235521235521235550e-01,1.505791505791505835e-01,8.880308880308880604e-02
5.019305019305019266e-01,1.158301158301158346e-01,1.621621621621621712e-01,4.633204633204632966e-02,6.949806949806949796e-02
6.100386100386100408e-01,8.880308880308880604e-02,1.428571428571428492e-01,3.088803088803088875e-02,1.930501930501930460e-02
6.525096525096525379e-01,6.949806949806949796e-02,4.247104247104246944e-02,1.081081081081081141e-01,1.042471042471042469e-01
3.861003861003861060e-01,1.196911196911196879e-01,5.405405405405405705e-02,1.776061776061776121e-01,1.737451737451737588e-01
6.061776061776061875e-01,1.351351351351351426e-01,8.494208494208493887e-02,3.861003861003861094e-03,3.088803088803088875e-02
5.444015444015444238e-01,1.003861003861003798e-01,1.930501930501930530e-01,2.316602316602316483e-02,1.119691119691119674e-01
5.250965250965250464e-01,1.042471042471042469e-01,8.494208494208493887e-02,1.003861003861003798e-01,9.266409266409265932e-02
3.629343629343629307e-01,1.042471042471042469e-01,2.625482625482625232e-01,6.949806949806949796e-02,1.119691119691119674e-01
6.640926640926640978e-01,1.119691119691119674e-01,8.880308880308880604e-02,7.335907335907336513e-02,3.861003861003860921e-02
7.104247104247104483e-01,1.081081081081081141e-01,3.861003861003860921e-02,5.791505791505791728e-02,4.247104247104246944e-02
5.945945945945946276e-01,1.853281853281853186e-01,3.861003861003860921e-02,1.003861003861003798e-01,1.544401544401544438e-02
3.359073359073359022e-01,1.891891891891891997e-01,1.505791505791505835e-01,1.235521235521235550e-01,1.274131274131274083e-01
4.826254826254826047e-01,6.177606177606177751e-02,1.312741312741312616e-01,1.158301158301158346e-01,1.737451737451737588e-01
4.787644787644787514e-01,6.177606177606177751e-02,1.737451737451737588e-01,3.474903474903474898e-02,8.108108108108108558e-02
6.023166023166023342e-01,9.266409266409265932e-02,7.722007722007721842e-02,7.335907335907336513e-02,3.088803088803088875e-02
4.478764478764478696e-01,5.791505791505791728e-02,1.853281853281853186e-01,5.019305019305018989e-02,1.853281853281853186e-01
5.096525096525096332e-01,1.196911196911196879e-01,3.088803088803088875e-02,1.776061776061776121e-01,8.494208494208493887e-02
3.861003861003861060e-01,2.007722007722007596e-01,1.621621621621621712e-01,1.544401544401544368e-01,5.791505791505791728e-02
3.243243243243243423e-01,2.548262548262548166e-01,6.949806949806949796e-02,2.432432432432432567e-01,3.861003861003861094e-03
6.061776061776061875e-01,5.405405405405405705e-02,1.158301158301158346e-01,1.081081081081081141e-01,9.266409266409265932e-02
5.405405405405405705e-01,1.389961389961389959e-01,3.861003861003860921e-02,1.312741312741312616e-01,6.177606177606177751e-02
6.023166023166023342e-01,8.880308880308880604e-02,1.351351351351351426e-01,4.633204633204632966e-02,7.335907335907336513e-02
